q_id,query_clean
1,номер счета
2,где узнать бик и счёт
3,мне не приходят коды для подтверждения данной операции
4,оформила рассрочку но уведомлений никаких не пришло
5,когда смогу пользоваться кредитной картой
6,по истории платеж не отображается
7,в рп нахабино отделение банка на улице институская <anon num> можно закрыть бизнес счет
8,узнать зарплатный счет
9,где я могу увидеть дату начала пользование кредитной карты
10,не приходит смс
11,не могу видеть на экране
12,не могу войти в альфа онлайн по номеру телефона
13,я заказала кредитную карту и мне одобрили почему мне не приходят смс чтобы получить карту в банке
14,а как получить номер расчётного счёта
15,мои счита
16,можно узнать я вчера пополнила сумму на <anon num> за кредит куда списался платеж за кредит или налог что теперь нужно сделать
17,как мне узнать бик и расчётный счёт
18,предоставить мне все мои счета
19,и я не вижу куда перешли деньги
20,отправил деньги с т банка на альфа банк чтобы покрыть рассрочку <anon num> чуть больше на всякий случай получили ли деньги а то в приложении не видно
21,что происходит снова мне не приходят смс
22,не видно перевод в истории операций
23,кредитный счет
24,кэшбэк
25,я записалась в банк по времени а меня не принимают что делать
26,хочу узнать свой бик
27,и где кешбек обещанный
28,не вижу в истории списания и пополнения карты за покупку в магазине zolla <anon num> <anon num>
29,а могу ли я узнать что за операции последние <anon num> на моей карты были
30,не приходит смс для активации карты
31,могу ли я оформить кредит чтоб деньги сразу поступили на карту в кабинет
32,почему мне не приходят подтверждения по операции
33,не пришла смс
34,номер счета для получения зарплаты
35,как узнать расчетный счет
36,партнер одобрил заявку а где она
37,расчетный щет
38,расчётный счёт где посмотреть
39,не приходят уведомления по операциям по кред карте
40,сейчас оплатила а как эти увидеть платежи в истории нет их
41,кэш
42,как найти бик банка
43,поступили на счет <anon num> руб
44,сумма поступила
45,вы поможете оформить заявку
46,нет денег на кредитке
47,а я себе сделал новую карту пластик и закажу сюда в приложении не вижу её почему б
48,как узнать привязана ли карта к этому номеру
49,отменить запись в отделение
50,кредитный счёт
51,расчетный счет
52,сейчас оплачивала услугу в циан почему не вижу в истории списание на <anon num> тысячи
53,номер счета
54,прошла ли у меня последняя оплата
55,расчетный счет
56,я вижу в мобильном приложении только одну карту
57,как узнать свой расчетный счет
58,хочу проверить транзакцию
59,не могу найти это пополнение
60,как удалить свой личный кабинет
61,нужен лицевой счет
62,не приходят уведомления о зачислении средств
63,детскую карту ребёнку оформили ребенку прислали перевод почему не отображается сумма в личном кабинете
64,бик карты нужен счёт и всё остальное
65,напиши номер моего ипотечного договора
66,почему не приходят оповещения о поступлении денежных средств
67,здесь через вас или в банк в офис
68,вопрос по кешбэку я вчера оплачивала авиабилеты общая стоимость была <anon num> руб вчера была скидка <anon num> и мне должно вернуться кэшбеком <anon num> рублей
69,я <anon num> мая оплатила кредит деньги пришли на счёт
70,где посмотреть номер договора по карте
71,могу ли пользоваться средствами на карте до её получения
72,за продукты
73,одобрили <anon num> рублей
74,куда делась моя кредитная карта
75,я случайно удалила карту с лимитом <anon num> а счёт остался можно мне обратно карту вернуть в приложение
76,узнать откуда на счету кредитной карты деньги
77,почему кредит не всю сумму мне дали
78,можно ли подтверждение переводов не по смс сделать а пуш или паролем для входа
79,деньги поступили кредитная карта
80,у этого номера заблокирован счёт
81,не сменить а удалить
82,куда пришли деньги с последнего пополнения
83,внесла платёж хочу узнать поступили ли средства
84,хочу узнать бик банка
85,я брал деньги в рассрочку оплатил досрочно на счёту показывает <anon num> р
86,а где будит высвечивается
87,нет я про другой кэшбек
88,где посмотреть номер счёта карты
89,я не вижу бик банка
90,по какому адресу банк работает с физическими лицами и меняют ли у вас тенге на рубли
91,а можно <anon num> сделать кэшбека этого на оплату картой а не стикером
92,у меня номер заблокирован
93,мне нужна история переводов <anon num> <anon num> год
94,можно ли получить код не пуш уведомлением а сообщением на телефон
95,куда пропали кредитные карты почему не могу их найти
96,посмотрел историю операций поступлений нет
97,я оформила <anon num> <anon num>
98,как мне заплатить за детский сад если банк не может найти реквизиты садика
99,для работы
100,можно сделать ещё одну дебетовую карту но привязать другой номер телефона
101,почему деньги не появляются на балансе
102,мои счета
103,на расчетный счёт пришла не вся сумма за вчерашний день
104,как привязать номер к карте чтоб мне делали перевод по номеру телефону
105,до какого она действует
106,мне на счёт поступили детские пособия выплата с материнского капитала где эти деньги почему их нет на счёте
107,мне пришло предложение максимально сумма <anon num> я оформил на <anon num> тысяч а отображается <anon num>
108,отделение митино время работы
109,поступления есть от меня
110,какие счета у меня действующие
111,откуда пришли деньги
112,какой у меня лимит по кредитной карте
113,кешбек
114,почему не вижу сколько денег на карте
115,не поступил на баланс
116,в какой период я пользовалась кредитной картой
117,то есть пользоваться можно после получения пластика
118,расчётный счёт
119,у меня проблемы с уведомлениями уведомление о списаниях пополнениях с банкомата и о зарплате приходят а о переводах нет с чем это может быть связано
120,часы работы круглосуточно
121,как я могу узнать свой расчетный счет или сделать это
122,за последние <anon num> месяца
123,не могу на экране найти кредитку с лимитом <anon num>
124,бик и нн банка
125,реквизиты проверены
126,что за пополнение мне пришло <anon num> от лояльности банка
127,я случайно перевела деньги на кредитную карту на которой нет задолженности могу ли я без комиссии перевести оттуда деньги
128,пишет что надо обновить номер телефона но он у меня остался прежним
129,как узнать свой расчетный счет
130,что с платежами сбп
131,onetotrip
132,после перевыпуска карты меняются ли реквизиты счета
133,мне уведомления не приходят как о пополнениях
134,просьба отключить кредитную часть с моей карты необходимо оставить только собственные средства
135,мой расчетный счет
136,работа
137,бик банка где посмотреть
138,мне же надо номер карты вписать а не счета
139,я сейчас внесла кредит как посмотреть что сумма внесена
140,прошла ли последняя операция на <anon num> рублей
141,как найти платеж с сентября <anon num>
142,как отвязать карту если привязал ее к другому телефону
143,когда у меня открыта кредитная карта
144,не получается узнать срок действия
145,завтра по возможности подъеду в отделение пушкино
146,операцию
147,я оформлял крилитную карту на <anon num> <anon num> не на <anon num> <anon num>
148,проверить имеющиеся карты
149,как узнать бик
150,нужен скан реквизитов
151,на какой счет ушли <anon num> <anon num> задолженность по карте оплатить
152,тот кто получил деньги и владелец телефона совершенно разные люди
153,почему на кредитной карте не отображается сумма лимита
154,по определённой операции
155,как получить временный пароль
156,картхолдер
157,мне нужен бик банка и расчётный счет ни где нету могу найти
158,как привязать номер ребёнка к детской карте
159,как установить пароль если приложение просит ввести текущий которого нет
160,куда вносить сумму долга
161,на детскую карту не приходят смс
162,можно уточнить какие у меня карты
163,номер карты подорожник указана не верно
164,в истории операций не отображается
165,оспаривание операций
166,адрес кызыл ул ленина д <anon num>
167,маркетплейсы кэшбэк
168,оформил заём когда он придет
169,а <anon num> мая банк работает имею в виду завтра поедем оформлять авто кредит нам могут завтра на него ответ дать или нет
170,с какого числа действует счёт
171,у меня приходит зарплата на карту альфа уведомленийнет почему
172,номер карты меняется
173,как связаться с управляющем отделения в городе туапсе
174,получила карту в спешке в аэропорту сейчас понимаю что она мне не нужна
175,расскажите про карту альфа тревел она за границей действует для покупок переводов итд или выгода только в приобретении туристических услуг
176,я в отделении подписывала бумаги но денег нет
177,не могу найти счет кредита
178,муж выпустил на меня карту но она не отображается в кабинете
179,бонус сверху что даёт
180,не видно откуда пришли деньги
181,где найти бик банка
182,как узнать бик
183,почему денег нет на карте
184,посмотрите деньги пришли
185,пришлите реквизиты кредитной карты альфа бизнеса
186,как узнать какой у карты расчётный счет
187,а карта в приложении появится только после того как я ее заберу
188,почему не приходит уведомление с кодом по смс
189,л л лл
190,почему не отображаются деньги на счету
191,обращение давал на отвязку чужого счета от моего номера а привязали не тот
192,какой еще кредитный счет
193,а откуда тогда он взял эту сумму она нигде не отображается
194,а куда делись карты в приложннии
195,не вижу этих денег на счетах
196,телефон на детской карте
197,мой расчётный счёт
198,куда я перевела деньги
199,перенести визит в банк
200,проверочнве смс не приходят
201,я только что оформил кредитную карту
202,а почему я не вижу счет кредитной карты
203,по операциям
204,где посмотреть всё мои счета
205,почему не приходят уведомления в смс о переводе мне денежных средств
206,операции
207,только что пришло на телефон
208,смена пароля
209,вопрос по кешбку на моих картах
210,одобрили кредит где деньги
211,мне нужны уведомления на телефон не смс а уведомление от банка
212,почему у меня в приложении не высвечивается карта ребенка
213,при попытке активации карты я должен ввести код который должен прийти на мой номер телефона но он не приходит что мне делать
214,чтобы открыть вклад требуется смс код
215,не отображается карта
216,каждый раз мне приходится вводить номер карты и номер телефона что происходит как это убрать
217,бик
218,когда закончится срок использования карты
219,переводы мне были сегодня
220,можете проверить не поступали ли мне переводы за сегодня или может они были отклонены
221,как посмотреть платеж
