q_id,query_clean
1,номер счета
2,где узнать бик счёт
3,мне не приходят коды для подтверждения данной операции
4,оформила рассрочку но уведомлений никаких не пришло
5,когда смогу пользоваться кредитной картой
6,по истории платеж не отображается
7,рп нахабино отделение банка на улице институская <anon num> можно закрыть бизнес счет
8,узнать зарплатный счет
9,где могу увидеть дату начала пользование кредитной карты
10,не приходит смс
11,не могу видеть на экране
12,не могу войти альфа онлайн по номеру телефона
13,заказала кредитную карту мне одобрили почему мне не приходят смс чтобы получить карту банке
14,как получить номер расчётного счёта
15,мои счита
16,можно узнать вчера пополнила сумму на <anon num> за кредит куда списался платеж за кредит или налог что теперь нужно сделать
17,как мне узнать бик расчётный счёт
18,предоставить мне все мои счета
19,не вижу куда перешли деньги
20,отправил деньги банка на альфа банк чтобы покрыть рассрочку <anon num> чуть больше на всякий случай получили ли деньги то приложении не видно
21,что происходит снова мне не приходят смс
22,не видно перевод истории операций
23,кредитный счет
24,кэшбэк
25,записалась банк по времени меня не принимают что делать
26,хочу узнать свой бик
27,где кешбек обещанный
28,не вижу истории списания пополнения карты за покупку магазине zolla <anon num> <anon num>
29,могу ли узнать что за операции последние <anon num> на моей карты были
30,не приходит смс для активации карты
31,могу ли оформить кредит чтоб деньги сразу поступили на карту кабинет
32,почему мне не приходят подтверждения по операции
33,не пришла смс
34,номер счета для получения зарплаты
35,как узнать расчетный счет
36,партнер одобрил заявку где она
37,расчетный щет
38,расчётный счёт где посмотреть
39,не приходят уведомления по операциям по кред карте
40,сейчас оплатила как эти увидеть платежи истории нет их
41,кэш
42,как найти бик банка
43,поступили на счет <anon num> руб
44,сумма поступила
45,вы поможете оформить заявку
46,нет денег на кредитке
47,себе сделал новую карту пластик закажу сюда приложении не вижу её почему
48,как узнать привязана ли карта этому номеру
49,отменить запись отделение
50,кредитный счёт
51,расчетный счет
52,сейчас оплачивала услугу циан почему не вижу истории списание на <anon num> тысячи
53,номер счета
54,прошла ли меня последняя оплата
55,расчетный счет
56,вижу мобильном приложении только одну карту
57,как узнать свой расчетный счет
58,хочу проверить транзакцию
59,не могу найти это пополнение
60,как удалить свой личный кабинет
61,нужен лицевой счет
62,не приходят уведомления зачислении средств
63,детскую карту ребёнку оформили ребенку прислали перевод почему не отображается сумма личном кабинете
64,бик карты нужен счёт всё остальное
65,напиши номер моего ипотечного договора
66,почему не приходят оповещения поступлении денежных средств
67,здесь через вас или банк офис
68,вопрос по кешбэку вчера оплачивала авиабилеты общая стоимость была <anon num> руб вчера была скидка <anon num> мне должно вернуться кэшбеком <anon num> рублей
69,<anon num> мая оплатила кредит деньги пришли на счёт
70,где посмотреть номер договора по карте
71,могу ли пользоваться средствами на карте до её получения
72,за продукты
73,одобрили <anon num> рублей
74,куда делась моя кредитная карта
75,случайно удалила карту лимитом <anon num> счёт остался можно мне обратно карту вернуть приложение
76,узнать откуда на счету кредитной карты деньги
77,почему кредит не всю сумму мне дали
78,можно ли подтверждение переводов не по смс сделать пуш или паролем для входа
79,деньги поступили кредитная карта
80,этого номера заблокирован счёт
81,не сменить удалить
82,куда пришли деньги последнего пополнения
83,внесла платёж хочу узнать поступили ли средства
84,хочу узнать бик банка
85,брал деньги рассрочку оплатил досрочно на счёту показывает <anon num>
86,где будит высвечивается
