index,query_clean
0,номер счета
1,где узнать бик и счёт
2,мне не приходят коды для подтверждения данной операции
3,оформила рассрочку но уведомлений никаких не пришло
4,когда смогу пользоваться кредитной картой
5,по истории платеж не отображается
6,в рп нахабино отделение банка на улице институская <anon num> можно закрыть бизнес счет
7,узнать зарплатный счет
8,где я могу увидеть дату начала пользование кредитной карты
9,не приходит смс
10,не могу видеть на экране
11,не могу войти в альфа онлайн по номеру телефона
12,я заказала кредитную карту и мне одобрили почему мне не приходят смс чтобы получить карту в банке
13,а как получить номер расчётного счёта
14,мои счита
15,можно узнать я вчера пополнила сумму на <anon num> за кредит куда списался платеж за кредит или налог что теперь нужно сделать
16,как мне узнать бик и расчётный счёт
17,предоставить мне все мои счета
18,и я не вижу куда перешли деньги
19,отправил деньги с т банка на альфа банк чтобы покрыть рассрочку <anon num> чуть больше на всякий случай получили ли деньги а то в приложении не видно
20,что происходит снова мне не приходят смс
21,не видно перевод в истории операций
22,кредитный счет
23,кэшбэк
24,я записалась в банк по времени а меня не принимают что делать
25,хочу узнать свой бик
26,и где кешбек обещанный
27,не вижу в истории списания и пополнения карты за покупку в магазине zolla <anon num> <anon num>
28,а могу ли я узнать что за операции последние <anon num> на моей карты были
29,не приходит смс для активации карты
30,могу ли я оформить кредит чтоб деньги сразу поступили на карту в кабинет
31,почему мне не приходят подтверждения по операции
32,не пришла смс
33,номер счета для получения зарплаты
34,как узнать расчетный счет
35,партнер одобрил заявку а где она
36,расчетный щет
37,расчётный счёт где посмотреть
38,не приходят уведомления по операциям по кред карте
39,сейчас оплатила а как эти увидеть платежи в истории нет их
40,кэш
41,как найти бик банка
42,поступили на счет <anon num> руб
43,сумма поступила
44,вы поможете оформить заявку
45,нет денег на кредитке
46,а я себе сделал новую карту пластик и закажу сюда в приложении не вижу её почему б
47,как узнать привязана ли карта к этому номеру
48,отменить запись в отделение
49,кредитный счёт
50,расчетный счет
51,сейчас оплачивала услугу в циан почему не вижу в истории списание на <anon num> тысячи
52,номер счета
53,прошла ли у меня последняя оплата
54,расчетный счет
55,я вижу в мобильном приложении только одну карту
56,как узнать свой расчетный счет
57,хочу проверить транзакцию
58,не могу найти это пополнение
59,как удалить свой личный кабинет
60,нужен лицевой счет
61,не приходят уведомления о зачислении средств
62,детскую карту ребёнку оформили ребенку прислали перевод почему не отображается сумма в личном кабинете
63,бик карты нужен счёт и всё остальное
64,напиши номер моего ипотечного договора
65,почему не приходят оповещения о поступлении денежных средств
66,здесь через вас или в банк в офис
67,вопрос по кешбэку я вчера оплачивала авиабилеты общая стоимость была <anon num> руб вчера была скидка <anon num> и мне должно вернуться кэшбеком <anon num> рублей
68,я <anon num> мая оплатила кредит деньги пришли на счёт
69,где посмотреть номер договора по карте
70,могу ли пользоваться средствами на карте до её получения
71,за продукты
72,одобрили <anon num> рублей
73,куда делась моя кредитная карта
74,я случайно удалила карту с лимитом <anon num> а счёт остался можно мне обратно карту вернуть в приложение
75,узнать откуда на счету кредитной карты деньги
76,почему кредит не всю сумму мне дали
77,можно ли подтверждение переводов не по смс сделать а пуш или паролем для входа
78,деньги поступили кредитная карта
79,у этого номера заблокирован счёт
80,не сменить а удалить
81,куда пришли деньги с последнего пополнения
82,внесла платёж хочу узнать поступили ли средства
83,хочу узнать бик банка
84,я брал деньги в рассрочку оплатил досрочно на счёту показывает <anon num> р
85,а где будит высвечивается
86,нет я про другой кэшбек
87,где посмотреть номер счёта карты
88,я не вижу бик банка
89,по какому адресу банк работает с физическими лицами и меняют ли у вас тенге на рубли
90,а можно <anon num> сделать кэшбека этого на оплату картой а не стикером
91,у меня номер заблокирован
92,мне нужна история переводов <anon num> <anon num> год
93,можно ли получить код не пуш уведомлением а сообщением на телефон
94,куда пропали кредитные карты почему не могу их найти
95,посмотрел историю операций поступлений нет
96,я оформила <anon num> <anon num>
97,как мне заплатить за детский сад если банк не может найти реквизиты садика
98,для работы
99,можно сделать ещё одну дебетовую карту но привязать другой номер телефона
100,почему деньги не появляются на балансе
101,мои счета
102,на расчетный счёт пришла не вся сумма за вчерашний день
103,как привязать номер к карте чтоб мне делали перевод по номеру телефону
104,до какого она действует
105,мне на счёт поступили детские пособия выплата с материнского капитала где эти деньги почему их нет на счёте
106,мне пришло предложение максимально сумма <anon num> я оформил на <anon num> тысяч а отображается <anon num>
107,отделение митино время работы
108,поступления есть от меня
109,какие счета у меня действующие
110,откуда пришли деньги
111,какой у меня лимит по кредитной карте
112,кешбек
113,почему не вижу сколько денег на карте
114,не поступил на баланс
115,в какой период я пользовалась кредитной картой
116,то есть пользоваться можно после получения пластика
117,расчётный счёт
118,у меня проблемы с уведомлениями уведомление о списаниях пополнениях с банкомата и о зарплате приходят а о переводах нет с чем это может быть связано
119,часы работы круглосуточно
120,как я могу узнать свой расчетный счет или сделать это
121,за последние <anon num> месяца
122,не могу на экране найти кредитку с лимитом <anon num>
123,бик и нн банка
124,реквизиты проверены
125,что за пополнение мне пришло <anon num> от лояльности банка
126,я случайно перевела деньги на кредитную карту на которой нет задолженности могу ли я без комиссии перевести оттуда деньги
127,пишет что надо обновить номер телефона но он у меня остался прежним
128,как узнать свой расчетный счет
129,что с платежами сбп
130,onetotrip
131,после перевыпуска карты меняются ли реквизиты счета
132,мне уведомления не приходят как о пополнениях
133,просьба отключить кредитную часть с моей карты необходимо оставить только собственные средства
134,мой расчетный счет
135,работа
136,бик банка где посмотреть
137,мне же надо номер карты вписать а не счета
138,я сейчас внесла кредит как посмотреть что сумма внесена
139,прошла ли последняя операция на <anon num> рублей
140,как найти платеж с сентября <anon num>
141,как отвязать карту если привязал ее к другому телефону
142,когда у меня открыта кредитная карта
143,не получается узнать срок действия
144,завтра по возможности подъеду в отделение пушкино
145,операцию
146,я оформлял крилитную карту на <anon num> <anon num> не на <anon num> <anon num>
147,проверить имеющиеся карты
148,как узнать бик
149,нужен скан реквизитов
150,на какой счет ушли <anon num> <anon num> задолженность по карте оплатить
151,тот кто получил деньги и владелец телефона совершенно разные люди
152,почему на кредитной карте не отображается сумма лимита
153,по определённой операции
154,как получить временный пароль
155,картхолдер
156,мне нужен бик банка и расчётный счет ни где нету могу найти
157,как привязать номер ребёнка к детской карте
158,как установить пароль если приложение просит ввести текущий которого нет
159,куда вносить сумму долга
160,на детскую карту не приходят смс
161,можно уточнить какие у меня карты
162,номер карты подорожник указана не верно
163,в истории операций не отображается
164,оспаривание операций
165,адрес кызыл ул ленина д <anon num>
166,маркетплейсы кэшбэк
167,оформил заём когда он придет
168,а <anon num> мая банк работает имею в виду завтра поедем оформлять авто кредит нам могут завтра на него ответ дать или нет
169,с какого числа действует счёт
170,у меня приходит зарплата на карту альфа уведомленийнет почему
171,номер карты меняется
172,как связаться с управляющем отделения в городе туапсе
173,получила карту в спешке в аэропорту сейчас понимаю что она мне не нужна
174,расскажите про карту альфа тревел она за границей действует для покупок переводов итд или выгода только в приобретении туристических услуг
175,я в отделении подписывала бумаги но денег нет
176,не могу найти счет кредита
177,муж выпустил на меня карту но она не отображается в кабинете
178,бонус сверху что даёт
179,не видно откуда пришли деньги
180,где найти бик банка
181,как узнать бик
182,почему денег нет на карте
183,посмотрите деньги пришли
184,пришлите реквизиты кредитной карты альфа бизнеса
185,как узнать какой у карты расчётный счет
186,а карта в приложении появится только после того как я ее заберу
187,почему не приходит уведомление с кодом по смс
188,л л лл
189,почему не отображаются деньги на счету
190,обращение давал на отвязку чужого счета от моего номера а привязали не тот
191,какой еще кредитный счет
192,а откуда тогда он взял эту сумму она нигде не отображается
193,а куда делись карты в приложннии
194,не вижу этих денег на счетах
195,телефон на детской карте
196,мой расчётный счёт
197,куда я перевела деньги
198,перенести визит в банк
199,проверочнве смс не приходят
200,я только что оформил кредитную карту
201,а почему я не вижу счет кредитной карты
202,по операциям
203,где посмотреть всё мои счета
204,почему не приходят уведомления в смс о переводе мне денежных средств
205,операции
206,только что пришло на телефон
207,смена пароля
208,вопрос по кешбку на моих картах
209,одобрили кредит где деньги
210,мне нужны уведомления на телефон не смс а уведомление от банка
211,почему у меня в приложении не высвечивается карта ребенка
212,при попытке активации карты я должен ввести код который должен прийти на мой номер телефона но он не приходит что мне делать
213,чтобы открыть вклад требуется смс код
214,не отображается карта
215,каждый раз мне приходится вводить номер карты и номер телефона что происходит как это убрать
216,бик
217,когда закончится срок использования карты
218,переводы мне были сегодня
219,можете проверить не поступали ли мне переводы за сегодня или может они были отклонены
220,как посмотреть платеж
221,где в ростове отделение банка находится для написания заявления вернуть деньги
222,оформлена кредитная карта на моё имя чужим человеком карты нет в личном кабинете
223,номер карты
224,как снять остаток средств со счета и закрыт счет в альфа банке
225,как я получаю
226,когда будет доступна кредитка в приложении
227,при смене номера нет доступа к приложению
228,как найти все или оплаты в адрес ооо кладовкин
229,мне одобрили кредитную карту а в личном кабинете она не появилась
230,куда уходят пополнения
231,не отображается список карт
232,при входе в приложение выходит обновить номер телефона нажимаю что у меня тот же номер ошибка что делать
233,какие банкоматы работает сегодня город якутск
234,хочу погасить рассрочку на <anon num> р не могу найти номер счёта
235,мне нужно обновить данные по номеру телефона
236,исчезла карта привязанная к зарплатному счету
237,было ли пополнения рассрочки <anon num>
238,почему то не приходит смс на активацию электронной подписи в альфа инвестициях
239,прошёл ли платёж
240,как узнать бик
241,когда была открыта кредитка
242,номер счета карты
243,я сегодня получила карту альфа банк номер карты не совпадаем с картой онлайн на карте другой а в приложении другой номер картв
244,не поступают уведомления о пополнение карты
245,почему не показывает реквизиты
246,банк на каминтери
247,реквизиты можно мне атправит немагу найти
248,как телефонные номера поменять местами
249,кешаут
250,нужна ссылка для входа в онлайн банк
251,я хочу закрыть счёт на который я брала деньги в рассрочку сумму недостающую я внесла но почему то не могу закрыть помогите закрыть рассрочку
252,мне не надо чтобы оно так отображалось
253,почему не стали приходить смс оповещения
254,последняя оплата инфо
255,как узнать лицевой счёт
256,по закрытому и открытому счету нужна история операций за <anon num> год
257,мне на счет поступило <anon num> <anon num> ₽
258,сейчас положила деньги на карту не могу найти их списание
259,операции произведенные более чем год назад
260,операции по картам
261,куда ушли пополнения на карту
262,ещё не получил кредитную карту как узнать лимит
263,в реквизитах нет расчетного счета банка а он мне нужен для возврата штрафа
264,не приходят уведомления о списании средств
265,меня интересует дата когда я заблокировала карты
266,перевод <anon num> тыс через сбп минут <anon num> назад почему я не вижу перевод в истории платежей
267,для оплаты не приходит смс уведомления включены как быть
268,узнать адрес оплаты картой
269,где он указывается
270,если дата платежа завтра по кредитным каникулам решение нужно принять сегодня или можно с утра необходимо изучить информацию
271,эта выписка по оддному кредиту у меня несколько кредитов по ним один договор
272,нет не понятно <anon num> числа было два поступление одно я перевела себе накоплений и сразу перевела другому человеку в каких накоплениях деньги
273,где посмотреть номера договора на кредитную карту
274,пришлите выписку из банка содержащую наименование банка расчетный счет бик банка
275,такси за наш счет в мае
276,мне нужен номер договора альфа страхования жизнь по погашенному кредиту
277,где я могу это отслеживать
278,последний перевод
279,счёта
280,где посмотреть бик и счёт карты
281,куда исчезла моя карта
282,как узнать бик банка
283,где я могу найти счёт к которому привязана моя карта
284,сегодня праздничный или выходной день
285,почему я не вижу все поступления например зарплату
286,можно узнать где зачисление
287,мои кешбеки
288,могу я узнать номера договоров страховки по тем кредитам которые я закрыла досрочно
289,почему мне не приходят уведомления о зачислениях таких как заработная плата пуш уведомления включены в настройках
290,<anon num> апреля была операция по зачислению <anon num> руб откуда это и куда были зачислены деньги
291,мне озон в подарок отправил сотрудника альфа банка привезли как получить на карту <anon num> и кеш бек
292,вопрос по начислению кэшбека
293,сумма поступления по дебетовой карты
294,история об оплате почему нет
295,я брала деньги в рассрочку на счету остались мои <anon num> руб как я могу её получить
296,почему не отображается кредитная карта
297,что делать если не приходит код для активации карты
298,подключить кэшбек
299,запросить дебетового счета
300,проверить пополнение счета рассрочки
301,операции нет в истории
302,куда ушло пополнение на <anon num> руб
303,у меня подключены именно уведомления по смс в профиле но они не приходят
304,бонус
305,адрес регистрации
306,пополнила баланс
307,интересует лимит по кредитной карте
308,как мне быть операция прошла или нет
309,бик код банка
310,когда у меня был баланс
311,кэшбэк по операции
312,на мой счет поступила сумма <anon num> рублей от неизвестного отправителя
313,сегодня рабочий день или на бирже выходной
314,кредитный лимит
315,расчетный счёт
316,не могу ребенку подключить приложение не приходит смс на телефон что делать
317,почему не вижу карту в онлайн банке на которой <anon num> р
318,почему смс не получил
319,моя история по кредиту
320,почему в приложении не отображался кредит <anon num> я получил смс сейчас и сразу оплатил
321,не могу просмотреть реквизиты
322,поступили денежные средства на кредит
323,перезвоните мне у меня слетело приложение после смены телефона
324,последние пополнение
325,как посмотреть расчётный счёт
326,у ребенка в приложении не отображается его карта
327,сделал перевод между счетами не пойму сумма снялась а куда перевелась
328,прошла оплата или нет <anon num>
329,у меня сегодня было <anon num> перевода на сумму <anon num> <anon num> и <anon num> <anon num> где чек на <anon num> <anon num> почему не высвечивается в истории
330,пришло только уведомление
331,можно ли проверить действительно ли был осуществлен перевод другим пользователям на мой счет
332,где найти счет
333,где посмотреть мои счета
334,что у меня подключен к кредиту
335,бонусы
336,прошла ли оплата
337,оформил кредитную карту ей нельзя пользоваться я ее не заберу с офиса
338,где найти бик банка
339,на мой номер смс не приходить
340,не могу найти бик и корсчет
341,почему не начислен кэшбек за оплату в аптеке стикером
342,а что с моим номером не так
343,какой у меня бик
344,где смотреть суммы зачислений по дивидендам и купонам
345,зачислились деньги <anon num> числа и я не понимаю от кого они я не вижу номер телефона отправителя где я могу его узнать потому что деньги ни от кого я не ждала
346,почему приходится каждый раз вводить логин пароль для входа и код доступа сбивается
347,у меня сегодня списали <anon num> р в счёт долга который я оплатила с другого банка два месяца назад
348,сама не могу потому что номер тот же но он его не подтверждает через код из смс
349,почему пропала операция из истории переводов
350,пуш уведомления были включены сейчас отключила попробую через смс
351,где узнать бик
352,вібрать кешбек
353,у меня есть счёт кредитной карты
354,я сегодня перевела <anon num> но не вижу на какой счет они пришли как узнать
355,не могу погасить задолжность из за заблокированых средств
356,не приходят уведомления и смс что делать
357,последний на сумму <anon num>
358,почему не отображаются мои карты и платежный стикер
359,почему кредитная карта не отображается в приложении
360,не вижу баланса в кредитной карте после оплаты платежа
361,почему не видна кредитная карта в приложении
362,почему я не вижу в приложение свою старую карту
363,не появилась кредитная карта в приложении
364,дебетовый счёт
365,бонус сверху
366,напишите почтовый адрес банка
367,срок годности кредитной карты
368,где <anon num> тысяча
369,в истории расходные операции не отражаются
370,счет указан верно но денежные средства не отображаются
371,кэшбек
372,сколько мне одобряют
373,уменьшила лимит не приходит ни смс ни пуш уведомление на подтверждение
374,кэш бек
375,не отображается карта у ребенка в личном кабинете
376,почему нет этих денег на счету
377,уведомление о временном пароле
378,заказала замену карты и в приложении она видна
