q_id,query_clean
1,Номер счета
2,Где узнать бик счёт
3,Мне не приходят коды для подтверждения данной операции
4,"Оформила рассрочку ,но уведомлений никаких не пришло"
5,когда смогу пользоваться кредитной картой?
6,По истории платеж не отображается
7,рп. Нахабино отделение банка на улице Институская можно закрыть бизнес счет?
8,Узнать зарплатный счет
9,где могу увидеть дату начала пользование кредитной карты?
10,Не приходит смс
11,Не могу видеть на экране
12,Не могу войти альфа онлайн по номеру телефона
13,заказала кредитную карту мне одобрили почему мне не приходят СМС чтобы получить карту банке
14,как получить номер расчётного счёта
15,Мои счита
16,"Можно узнать, вчера пополнила сумму на за кредит? Куда списался платеж За кредит или налог ?Что теперь нужно сделать"
17,Как мне узнать БИК расчётный счёт
18,предоставить мне все мои счета
19,не вижу куда перешли деньги?
20,"отправил деньги банка на альфа банк, чтобы покрыть рассрочку чуть больше, на всякий случай). получили ли деньги, то приложении не видно?"
21,что происходит??? Снова мне не приходят смс
22,Не видно перевод истории операций
23,Кредитный счет
24,Кэшбэк
25,"записалась банк по времени, меня не принимают. Что делать?"
26,хочу узнать свой БИК
27,где кешбек обещанный?
28,"не вижу,в истории, списания пополнения карты за покупку магазине zolla,("
29,могу ли узнать что за операции последние на моей карты были
30,Не приходит смс для активации карты
31,"Могу ли оформить кредит, чтоб деньги сразу поступили на карту кабинет?"
32,Почему мне не приходят подтверждения по операции
33,Не пришла смс
34,Номер счета для получения зарплаты?
35,как узнать расчетный счет?
36,партнер одобрил заявку где она?
37,Расчетный щет
38,"Расчётный счёт, где посмотреть?"
39,Не приходят уведомления по операциям по кред карте
40,сейчас оплатила как эти увидеть платежи? истории нет их
41,Кэш
42,Как найти БИК банка
43,Поступили на счет руб
44,сумма поступила
45,Вы поможете оформить заявку?
46,Нет денег на кредитке
47,себе сделал новую карту пластик закажу сюда приложении не вижу её почему
48,как узнать привязана ли карта этому номеру
49,отменить запись отделение
50,Кредитный счёт
51,Расчетный счет
52,Сейчас оплачивала услугу циан. Почему не вижу истории списание на тысячи?
53,номер счета
54,прошла ли меня последняя оплата?
55,расчетный счет
56,вижу мобильном приложении только одну карту
57,Как узнать свой расчетный счет
58,хочу проверить транзакцию
59,Не могу найти это пополнение
60,Как удалить свой личный кабинет
61,Нужен лицевой счет
62,не приходят уведомления зачислении средств
63,"детскую карту ребёнку оформили, ребенку прислали перевод, почему не отображается сумма личном кабинете?"
64,"Бик карты нужен, счёт всё остальное"
65,Напиши номер моего ипотечного договора
66,Почему не приходят оповещения поступлении денежных средств?
67,"Здесь через вас или банк, офис?"
68,"Вопрос по кешбэку. вчера оплачивала авиабилеты, общая стоимость была руб. Вчера была скидка мне должно вернуться кэшбеком рублей"
69,"мая оплатила кредит, деньги пришли на счёт?"
70,Где посмотреть номер договора по карте?
71,Могу ли пользоваться средствами на карте до её получения
72,За продукты
73,Одобрили рублей
74,Куда делась моя кредитная карта?
75,",я случайно удалила карту лимитом .А счёт остался можно мне обратно карту вернуть приложение"
76,узнать откуда на счету кредитной карты деньги
77,Почему кредит не всю сумму мне дали?
78,Можно ли подтверждение переводов не по смс сделать? пуш или паролем для входа
79,Деньги поступили кредитная карта
80,этого номера заблокирован счёт.
81,Не сменить удалить
82,куда пришли деньги последнего пополнения
