question_id,website_id,rank,score
0,455,1,3.4174505007907054
0,454,2,3.3639866360568655
0,1880,3,3.3608926346515187
0,114,4,3.2762724604625366
0,372,5,3.2319577172692875
0,1567,6,3.216139937477068
0,1113,7,3.2029700780078514
0,108,8,3.18704968481475
0,467,9,3.1850912217139404
0,1157,10,3.176744096183655
1,372,1,12.93867287630719
1,368,2,12.820998072184201
1,862,3,9.62838015618128
1,1557,4,9.471598699221737
1,1098,5,9.26205479685991
1,1721,6,9.098714257988826
1,1570,7,8.85257550799414
1,1157,8,8.632053286373818
1,1202,9,8.612989534661748
1,410,10,8.612989534661748
2,1165,1,6.743712985637677
2,1677,2,6.724439392235543
2,383,3,6.723629005062312
2,317,4,6.7193715764676245
2,713,5,6.716365884542499
2,1121,6,6.715341870070389
2,1147,7,6.709725736978995
2,386,8,6.697055935753985
2,1143,9,6.694033964088936
2,376,10,6.6888643924701725
3,1776,1,4.85415585981819
3,1757,2,4.85415585981819
3,1113,3,4.756104210526143
3,1077,4,4.753012894790704
3,618,5,4.709109521702599
3,1286,6,4.705424580572645
3,1021,7,4.636985119823777
3,383,8,4.6363850726243525
3,1121,9,4.629385403622634
3,325,10,4.628642249359481
4,1561,1,4.268555728337864
4,1560,2,4.11978543487959
4,1041,3,4.020433101230244
4,1651,4,3.949566878605483
4,1525,5,3.865625767858886
4,1526,6,3.7363848646122277
4,1310,7,3.6736734835891647
4,56,8,3.5188308534961266
4,813,9,3.513622340547337
4,126,10,3.4933434904133787
5,1077,1,6.85935307204147
5,1933,2,6.856535481243865
5,1752,3,6.849653491580391
5,1816,4,6.843874947023417
5,1817,5,6.843874947023417
5,1813,6,6.833261116445895
5,1814,7,6.833261116445895
5,1815,8,6.828027663365447
5,1777,9,6.826682723502909
5,1765,10,6.826682723502909
6,1088,1,18.255720707930692
6,615,2,15.256455856853743
6,1637,3,13.829724958570116
6,1916,4,13.518447545962882
6,391,5,13.447837640296438
6,1160,6,13.436773179550865
6,1030,7,13.33827770271
6,1179,8,13.030905821220655
6,1180,9,12.838332228072364
6,1147,10,12.810308450903939
7,1065,1,6.516595573851916
7,268,2,6.130626148299337
7,812,3,6.003353137062513
7,247,4,5.624055252130838
7,1634,5,5.448578589786068
7,1157,6,5.330673875594059
7,230,7,5.275255816255266
7,248,8,5.203108593985203
7,1000,9,5.190581094200482
7,1633,10,5.1822628877490935
8,402,1,13.148383168133142
8,1239,2,11.623060612652075
8,618,3,10.648344609459881
8,7,4,9.813642741600194
8,1001,5,9.571919006994836
8,15,6,8.97488556122476
8,412,7,8.407784485534357
8,1694,8,8.295564235672538
8,411,9,7.834399601614255
8,1277,10,7.707885808101874
9,455,1,7.377302079494699
9,1306,2,7.296330153047014
